accuracy,recall,precision,f1,mcc,spd,aod,eod
0.875,0.665,0.712,0.684,0.375,0.216,0.131,0.086
0.891,0.64,0.778,0.677,0.394,0.142,0.087,0.096
0.877,0.73,0.724,0.727,0.454,0.203,0.088,0.038
0.867,0.674,0.696,0.684,0.369,0.21,0.124,0.085
0.886,0.62,0.76,0.653,0.353,0.116,0.068,0.073
0.883,0.604,0.751,0.635,0.324,0.105,0.06,0.054
0.884,0.677,0.74,0.701,0.413,0.18,0.1,0.082
0.874,0.67,0.712,0.687,0.38,0.171,0.094,0.079
0.888,0.682,0.752,0.708,0.428,0.199,0.117,0.097
0.891,0.668,0.767,0.701,0.424,0.187,0.118,0.118
0.855,0.656,0.667,0.662,0.324,0.208,0.116,0.044
0.891,0.639,0.782,0.676,0.396,0.133,0.074,0.072
0.883,0.692,0.736,0.71,0.426,0.19,0.088,0.027
0.885,0.701,0.742,0.719,0.441,0.183,0.095,0.082
0.886,0.635,0.754,0.668,0.37,0.169,0.125,0.151
0.887,0.72,0.745,0.731,0.464,0.209,0.095,0.039
0.878,0.659,0.722,0.682,0.375,0.198,0.14,0.158
